,molecule_chembl_id,EC50,units,smiles,pEC50
44,CHEMBL4464507,25400.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNC(=O)N[C@@H]3[C@@H](CNC(=O)N[C@H]2[C@H]1O)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3O,4.5951662833800615
45,CHEMBL4591496,27500.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1CCCNC(=O)C(C)(C)C,4.560667306169737
46,CHEMBL4544112,27600.0,nM,Nc1nc(N)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@H]4[C@H]3F)O[C@H]5n3cnc4c(=O)[nH]c(N)nc43)c2n1,4.559090917934782
47,CHEMBL4552089,29900.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(=O)[nH]cnc21,4.52432881167557
48,CHEMBL4474321,31900.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,4.496209316942819
49,CHEMBL4540223,35900.0,nM,Nc1nc(N)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@H]4[C@H]3O)O[C@H]5n3cnc4c(=O)nc(N)[nH]c43)c2n1,4.444905551421681
50,CHEMBL4465054,38600.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.413412695328245
51,CHEMBL4435159,39200.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@H]4n2cnc3c(N)ncnc32)c(=O)[nH]1,4.406713932979542
52,CHEMBL4569076,39500.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1CCCNC(=O)CCc1cccnc1,4.403402904373539
53,CHEMBL4573074,40000.0,nM,Cn1c(N)nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c1=O,4.3979400086720375
54,CHEMBL4539147,40400.0,nM,Nc1nc2c(ccn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.393618634889395
55,CHEMBL4543093,41500.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@@H]4[C@@H](CO[P@@](=O)(S)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.3819519032879075
56,CHEMBL4462144,53900.0,nM,Nc1ncc2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@H]4[C@H]3O)O[C@H]5n3cnc4c(=O)[nH]c(N)nc43)c2n1,4.268411234813262
