,molecule_chembl_id,IC50,units,smiles,pIC50
41,CHEMBL2031300,0.23,nM,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.638272163982407
42,CHEMBL127041,0.24,nM,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.619788758288394
43,CHEMBL316064,0.24,nM,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,9.619788758288394
44,CHEMBL52913,0.25,nM,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
45,CHEMBL328955,0.25,nM,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
46,CHEMBL3360608,0.26,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.585026652029182
47,CHEMBL2031303,0.27,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.568636235841012
48,CHEMBL2031298,0.27,nM,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.568636235841012
49,CHEMBL152905,0.27,nM,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,9.568636235841012
50,CHEMBL3929484,0.27,nM,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.568636235841012
51,CHEMBL355816,0.28,nM,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.55284196865778
52,CHEMBL2031297,0.28,nM,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.55284196865778
53,CHEMBL128468,0.28,nM,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55284196865778
54,CHEMBL426580,0.29,nM,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,9.537602002101044
55,CHEMBL2029438,0.29,nM,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.537602002101044
56,CHEMBL2031305,0.29,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,9.537602002101044
57,CHEMBL2029436,0.3,nM,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
58,CHEMBL4290812,0.3,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,9.522878745280337
59,CHEMBL4078431,0.3,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.522878745280337
60,CHEMBL4439338,0.3,nM,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCN1CCNCCNCC1,9.522878745280337
61,CHEMBL3544983,0.3,nM,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,9.522878745280337
62,CHEMBL203644,0.3,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745280337
63,CHEMBL3357644,0.3,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1,9.522878745280337
64,CHEMBL4127317,0.3,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
65,CHEMBL3360603,0.31,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.508638306165727
66,CHEMBL3360606,0.32,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.494850021680094
67,CHEMBL3355877,0.32,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.494850021680094
68,CHEMBL3360619,0.33,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.481486060122112
69,CHEMBL366580,0.34,nM,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745
70,CHEMBL91980,0.35,nM,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,9.455931955649724
71,CHEMBL163369,0.35,nM,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.455931955649724
72,CHEMBL603266,0.36,nM,O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.443697499232712
73,CHEMBL4540303,0.37,nM,COc1cc2c(Nc3ccc(C)c(Br)c3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,9.431798275933005
74,CHEMBL3895468,0.37,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,9.431798275933005
75,CHEMBL39320,0.37,nM,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.431798275933005
76,CHEMBL599863,0.37,nM,O=C(CNC(=O)Oc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.431798275933005
77,CHEMBL3360618,0.37,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.431798275933005
78,CHEMBL2447950,0.38,nM,CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC.Cl,9.42021640338319
79,CHEMBL2029434,0.38,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.42021640338319
80,CHEMBL3901622,0.4,nM,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN(C)C)cc3)cc12)c1ccccc1,9.397940008672037
81,CHEMBL3759317,0.4,nM,COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.397940008672037
82,CHEMBL51741,0.4,nM,C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1,9.397940008672037
83,CHEMBL4129646,0.4,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.397940008672037
84,CHEMBL4282543,0.4,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1,9.397940008672037
85,CHEMBL4112924,0.4,nM,CO[C@@H]1COC2C1OC[C@H]2Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,9.397940008672037
86,CHEMBL2029429,0.41,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,9.387216143280265
87,CHEMBL1204199,0.41,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC.Cl,9.387216143280265
88,CHEMBL31815,0.42,nM,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.3767507096021
89,CHEMBL188762,0.43,nM,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.366531544420413
90,CHEMBL2029428,0.43,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,9.366531544420413
91,CHEMBL40734,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812
92,CHEMBL351629,0.44,nM,CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.356547323513812
93,CHEMBL39337,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812
94,CHEMBL443523,0.45,nM,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.346787486224656
95,CHEMBL304271,0.45,nM,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
96,CHEMBL162821,0.45,nM,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486224656
97,CHEMBL3355875,0.47,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282
98,CHEMBL3818015,0.47,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,9.327902142064282
99,CHEMBL539822,0.47,nM,Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,9.327902142064282
100,CHEMBL3360609,0.47,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.327902142064282
101,CHEMBL54088,0.48,nM,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.318758762624412
102,CHEMBL3355881,0.49,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.309803919971486
103,CHEMBL3360617,0.49,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.309803919971486
104,CHEMBL2021576,0.49,nM,O=C(O)[C@H]1O[C@@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.309803919971486
105,CHEMBL2021575,0.5,nM,O=C(O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.301029995663981
106,CHEMBL3633145,0.5,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.301029995663981
107,CHEMBL4071474,0.5,nM,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,9.301029995663981
108,CHEMBL2347958,0.5,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1,9.301029995663981
109,CHEMBL3758582,0.5,nM,COc1ccc(C(=O)NCCN(C)C)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
110,CHEMBL203599,0.5,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.301029995663981
111,CHEMBL3758770,0.5,nM,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
112,CHEMBL3355882,0.5,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.301029995663981
113,CHEMBL4080720,0.5,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.301029995663981
114,CHEMBL3355876,0.51,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.292429823902063
115,CHEMBL126791,0.51,nM,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063
116,CHEMBL3901296,0.51,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,9.292429823902063
117,CHEMBL2031299,0.51,nM,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.292429823902063
118,CHEMBL2031304,0.51,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,9.292429823902063
119,CHEMBL3360604,0.52,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.2839966563652
120,CHEMBL3355889,0.53,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,9.275724130399212
121,CHEMBL3360611,0.54,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.267606240177031
122,CHEMBL4110258,0.54,nM,CN(C)CC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@]12COC[C@H]1C2,9.267606240177031
123,CHEMBL49986,0.54,nM,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.267606240177031
124,CHEMBL165547,0.56,nM,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.2518119729938
125,CHEMBL3355880,0.56,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.2518119729938
126,CHEMBL3360610,0.57,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.244125144327509
127,CHEMBL1243254,0.57,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)Cc1ccc(F)cc1,9.244125144327509
128,CHEMBL2029435,0.58,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.236572006437063
129,CHEMBL4454516,0.5872,nM,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccccc3)n2)c(OC)cc1N1CCC(C(N)=O)CC1,9.231213953091986
130,CHEMBL4105621,0.6,nM,C=CC(=O)Nc1cc(Cl)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.221848749616356
131,CHEMBL378144,0.6,nM,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.221848749616356
132,CHEMBL4285217,0.6,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.221848749616356
133,CHEMBL4282954,0.6,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,9.221848749616356
134,CHEMBL3891846,0.6,nM,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN4CCCCC4)cc3)cc12)c1ccccc1,9.221848749616356
135,CHEMBL4562352,0.6,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1cccnc1,9.221848749616356
136,CHEMBL127086,0.61,nM,O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.214670164989233
137,CHEMBL1204262,0.64,nM,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC.Cl,9.193820026016112
138,CHEMBL3360607,0.65,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.187086643357144
139,CHEMBL3920583,0.65,nM,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.187086643357144
140,CHEMBL162622,0.65,nM,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.187086643357144
141,CHEMBL1204168,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl,9.18045606445813
142,CHEMBL3355878,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.18045606445813
143,CHEMBL3814257,0.662,nM,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1791420105603
144,CHEMBL317925,0.67,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,9.173925197299173
145,CHEMBL3357636,0.67,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCCCC1,9.173925197299173
146,CHEMBL2437462,0.677,nM,C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,9.169411331314855
147,CHEMBL2031307,0.68,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.167491087293763
148,CHEMBL4471491,0.69,nM,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,9.161150909262744
149,CHEMBL3957055,0.69,nM,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.161150909262744
150,CHEMBL280757,0.69,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.161150909262744
151,CHEMBL4473875,0.69,nM,CCOCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,9.161150909262744
152,CHEMBL92937,0.69,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.161150909262744
153,CHEMBL3909201,0.7,nM,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C1,9.154901959985743
154,CHEMBL3940089,0.7,nM,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OCCC)CC1,9.154901959985743
155,CHEMBL4287401,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1,9.154901959985743
156,CHEMBL4293145,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,9.154901959985743
157,CHEMBL4294211,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1,9.154901959985743
158,CHEMBL4279016,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,9.154901959985743
159,CHEMBL4284071,0.71,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2Cl)c1,9.148741651280925
160,CHEMBL54091,0.72,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,9.142667503568731
161,CHEMBL289213,0.72,nM,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,9.142667503568731
162,CHEMBL339416,0.74,nM,[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,9.130768280269024
163,CHEMBL31373,0.75,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1249387366083
164,CHEMBL28418,0.75,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,9.1249387366083
165,CHEMBL4474073,0.76,nM,COCCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,9.119186407719209
166,CHEMBL53555,0.77,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.113509274827518
167,CHEMBL3360602,0.77,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.113509274827518
168,CHEMBL3814882,0.772,nM,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.112382699664265
169,CHEMBL31326,0.78,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,9.10790539730952
170,CHEMBL3352899,0.78,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.10790539730952
171,CHEMBL1090357,0.78,nM,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,9.10790539730952
172,CHEMBL162142,0.78,nM,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.10790539730952
173,CHEMBL53300,0.79,nM,Nc1ccc2ncncc2c1,9.102372908709558
174,CHEMBL4129781,0.8,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.096910013008056
175,CHEMBL2029437,0.8,nM,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc4ccccc4c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
176,CHEMBL36727,0.8,nM,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.096910013008056
